tag_id,name,category,count,aliases,is_core,is_attire
6010,tears,0,239685,"[""tears"", ""tear""]",False,False
474821,white_gloves,0,307723,"[""white_gloves"", ""white_glove""]",False,True
539367,hand_up,0,364043,"[""hand_up"", ""raised_hand"", ""hand_raised"", ""one_hand_raised""]",False,False
411263,signature,0,308449,"[""signature"", ""artist_signature"", ""signed"", ""autograph""]",False,False
400123,hair_flower,0,288226,"[""hair_flower"", ""flower_hair_ornament"", ""/hflower"", ""hair_flowers"", ""flower_in_hair"", ""hairflower""]",True,False
71730,dark_skin,0,294848,"[""dark_skin"", ""dark_skinned_female"", ""dark_skin_female"", ""brown_skin"", ""darkskin""]",True,False
399836,3girls,0,249537,"[""3girls"", ""3girl""]",False,False
16252,spread_legs,0,258919,"[""spread_legs"", ""spread_leg"", ""open_legs"", ""legs_spread""]",False,False
1842,cum,0,253443,"[""cum"", ""sperm"", ""semen"", ""cumshot""]",False,False
5948,hood,0,307588,"[""hood""]",False,True
449194,2boys,0,313187,"[""2boys"", ""2boy""]",False,False
2357,sex,0,274607,"[""sex"", ""fuck"", ""fucking""]",False,False
502710,tongue_out,0,287793,"[""tongue_out""]",False,True
9168,miniskirt,0,271024,"[""miniskirt"", ""short_skirt"", ""mini_skirt""]",False,True
394970,wide_sleeves,0,263477,"[""wide_sleeves"", ""/wsleeves""]",False,True
537684,blunt_bangs,0,301369,"[""blunt_bangs""]",True,False
401481,on_back,0,259476,"[""on_back"", ""lying_on_back"", ""supine""]",False,False
375020,fingerless_gloves,0,268441,"[""fingerless_gloves"", ""fingerless_glove""]",False,True
11628,bowtie,0,313943,"[""bowtie"", ""neck_bow"", ""bow_tie""]",False,True
374628,black_skirt,0,309035,"[""black_skirt""]",False,True
426781,medium_hair,0,395424,"[""medium_hair"", ""shoulder-length_hair""]",True,False
16750,pink_eyes,0,288749,"[""pink_eyes""]",True,False
5576,armpits,0,248465,"[""armpits"", ""showing_armpits"", ""armpit""]",False,True
389378,sailor_collar,0,283873,"[""sailor_collar""]",False,False
445,kimono,0,249332,"[""kimono""]",False,True
632214,grey_background,0,274654,"[""grey_background"", ""/graybg"", ""/greybg"", ""gray_background""]",False,False
1573,water,0,226660,"[""water""]",False,False
4068,necklace,0,255235,"[""necklace""]",False,True
375229,off_shoulder,0,247872,"[""off_shoulder"", ""off_shoulders"", ""off-shoulder""]",False,True
467104,stomach,0,276662,"[""stomach""]",False,False
4333,bag,0,232687,"[""bag"", ""bags""]",False,True
454933,hair_bun,0,253509,"[""hair_bun""]",True,False
1747,chibi,0,250436,"[""chibi"", ""super_deformed""]",False,False
473983,clothes_lift,0,212711,"[""clothes_lift""]",False,True
1254363,twitter_username,0,278876,"[""twitter_username"", ""artist_twitter""]",False,False
234192,from_behind,0,238688,"[""from_behind"", ""viewed_from_behind""]",False,False
656624,star_(symbol),0,246322,"[""star_(symbol)""]",False,False
3198,scarf,0,216936,"[""scarf"", ""muffler""]",False,True
6346,cape,0,220525,"[""cape""]",False,True
102962,nail_polish,0,246623,"[""nail_polish"", ""colored_nails"", ""painted_nails"", ""nailpolish"", ""nail_varnish""]",False,True
659098,black_footwear,0,299412,"[""black_footwear"", ""black_shoes"", ""black_boots""]",False,True
670071,holding_weapon,0,272749,"[""holding_weapon""]",False,True
3796,bra,0,206889,"[""bra""]",False,True
14620,white_dress,0,278020,"[""white_dress""]",False,True
87676,orange_hair,0,245895,"[""orange_hair""]",True,False
261,yuri,0,225791,"[""yuri"", ""girl_love"", ""girls_love"", ""girl's_love"", ""shoujo-ai"", ""lesbian""]",False,False
125238,sweatdrop,0,234889,"[""sweatdrop"", ""sweat_drops"", ""sweatdrops"", ""sweat_drop""]",False,False
4659,armor,0,216454,"[""armor"", ""armour""]",False,True
465583,rabbit_ears,0,235311,"[""rabbit_ears"", ""bunny_ears"", ""rabbit_ear"", ""bunny_ear"", ""/bun"", ""usamimi"", ""usagimimi""]",True,False
4019,mole,0,262124,"[""mole"", ""beauty_mark""]",True,False
374791,white_panties,0,190755,"[""white_panties""]",False,True
399541,hair_over_one_eye,0,253734,"[""hair_over_one_eye"", ""eye_covering_bang"", ""hair_over_eye"", ""/hooe""]",True,False
384884,grin,0,240952,"[""grin"", ""grinning""]",False,False
6107,blurry,0,234436,"[""blurry"", ""blurred""]",False,False
393959,huge_breasts,0,217200,"[""huge_breasts"", ""huge_breast"", ""/hb"", ""huge_boobs"", ""huge_tits""]",True,False
641577,looking_at_another,0,276623,"[""looking_at_another""]",False,False
14599,:o,0,191859,"["":o"", "":0""]",False,False
4152,uniform,0,28679,"[""uniform"", ""uniforms""]",False,False
13199,black_eyes,0,237958,"[""black_eyes"", ""dark_eyes""]",True,False
273,apron,0,213709,"[""apron""]",False,True
510962,character_name,0,209785,"[""character_name""]",False,False
6176,vest,0,221549,"[""vest""]",False,True
39127,black_dress,0,243973,"[""black_dress""]",False,True
682673,mosaic_censoring,0,205500,"[""mosaic_censoring"", ""pixel_censor"", ""mosaic_censor"", ""rough_censoring""]",False,False
475187,arm_up,0,215432,"[""arm_up"", ""one_arm_up"", ""arm_raised"", ""raised_arm""]",False,False
10484,vaginal,0,201132,"[""vaginal"", ""vaginal_sex"", ""vaginal_penetration""]",False,False
470807,red_bow,0,217687,"[""red_bow""]",True,True
9882,high_heels,0,205490,"[""high_heels"", ""highheels"", ""heels""]",False,True
524070,shiny_hair,0,0,"[""shiny_hair""]",True,False
52138,twin_braids,0,184316,"[""twin_braids"", ""double_braid"", ""twin_braid"", ""twinbraid"", ""twinbraids""]",True,False
399827,arms_up,0,193048,"[""arms_up"", ""hands_above_head"", ""arms_above_head"", ""arms_raised"", ""raised_arms"", ""arms_above""]",False,False
378032,flat_chest,0,179718,"[""flat_chest"", ""titty_buds"", ""flat_chested"", ""flatchest"", ""tsurupeta"", ""pettanko""]",False,False
381629,side_ponytail,0,181414,"[""side_ponytail"", ""side_tail"", ""sidetail""]",True,False
4052,collar,0,195652,"[""collar""]",False,True
11904,bracelet,0,197660,"[""bracelet"", ""wristlet"", ""bracelets""]",False,True
2060,feet,0,206476,"[""feet"", ""foot""]",False,False
515329,covered_nipples,0,162588,"[""covered_nipples"", ""erect_nipples_under_clothes"", ""covered_erect_nipples"", ""erect_nipples"", ""erect_nipple"", ""perky_nipples"", ""erect_nipplees"", ""errect_nipples""]",False,False
511141,from_side,0,229205,"[""from_side"", ""viewed_from_side"", ""side_view"", ""side""]",False,False
560958,dated,0,192960,"[""dated""]",False,False
413564,two-tone_hair,0,250175,"[""two-tone_hair"", ""two-tone-hair"", ""/tth"", ""two_tone_hair""]",True,False
89368,aqua_eyes,0,181834,"[""aqua_eyes"", ""cyan_eyes"", ""teal_eyes"", ""turquoise_eyes""]",True,False
3477,sweater,0,207412,"[""sweater"", ""sweatshirt""]",False,True
440465,speech_bubble,0,281795,"[""speech_bubble"", ""word_bubble"", ""speech_balloon"", ""text_bubble""]",False,False
375002,white_thighhighs,0,227612,"[""white_thighhighs""]",False,True
590165,english_text,0,248793,"[""english_text"", ""english""]",False,False
6295,leotard,0,214144,"[""leotard""]",False,True
379615,open_jacket,0,250146,"[""open_jacket"", ""open_track_jacket"", ""open_blazer""]",False,True
1515536,official_alternate_costume,0,343912,"[""official_alternate_costume"", ""official_alternate_outfit"", ""alternate_costume_(official)""]",False,False
390401,red_ribbon,0,186953,"[""red_ribbon""]",True,True
633894,dark-skinned_female,0,183422,"[""dark-skinned_female"", ""dark_skinned_female""]",True,False
652604,two_side_up,0,179057,"[""two_side_up"", ""two_sides_up""]",True,False
464586,tree,0,172200,"[""tree"", ""trees""]",False,False
464553,cup,0,187357,"[""cup"", ""drinking_cup"", ""cups""]",False,False
490655,blue_sky,0,201147,"[""blue_sky""]",False,False
1931,sketch,0,154253,"[""sketch"", ""rough"", ""rough_sketch"", ""/sk""]",False,False
684639,puffy_short_sleeves,0,181366,"[""puffy_short_sleeves"", ""short_puffy_sleeves""]",False,True
5501,lips,0,141439,"[""lips""]",True,False
428173,blue_skirt,0,180700,"[""blue_skirt""]",False,True
10644,zettai_ryouiki,0,136834,"[""zettai_ryouiki"", ""absolute_territory"", ""zettai_ryouki"", ""/zr""]",False,True
719985,streaked_hair,0,255885,"[""streaked_hair"", ""highlights""]",True,False
5569,coat,0,236006,"[""coat""]",False,True
547860,black_jacket,0,244054,"[""black_jacket"", ""black_blazer""]",False,True
395321,crop_top,0,200587,"[""crop_top""]",False,True
754325,groin,0,150196,"[""groin"", ""adonis_belt"", ""hip_lines"", ""mound_of_venus""]",False,False
427008,fingernails,0,184848,"[""fingernails"", ""finger_nails"", ""fingernail""]",False,True
4867,wet,0,150898,"[""wet"", ""wet_skin"", ""wet_body"", ""soaked""]",False,False
1445905,v-shaped_eyebrows,0,182512,"[""v-shaped_eyebrows""]",True,False
389404,cat_tail,0,160874,"[""cat_tail"", ""cat_tails""]",True,False
438623,neckerchief,0,179075,"[""neckerchief""]",False,True
95405,orange_eyes,0,177875,"[""orange_eyes""]",True,False
1486996,animal_ear_fluff,0,204772,"[""animal_ear_fluff""]",True,False
431755,head_tilt,0,141552,"[""head_tilt""]",False,False
451371,see-through,0,0,"[""see-through"", ""see_through""]",False,True
391631,gradient,0,4399,"[""gradient""]",False,False
451155,hand_on_hip,0,0,"[""hand_on_hip""]",False,False
589,gun,0,147713,"[""gun"", ""firearm"", ""guns""]",False,False
4311,legs,0,154543,"[""legs"", ""leg""]",False,False
494251,one-piece_swimsuit,0,138413,"[""one-piece_swimsuit"", ""one_piece_swimsuit"", ""one-piece""]",False,True
494744,shiny_skin,0,127667,"[""shiny_skin"", ""glistening_skin""]",True,False
479939,sleeves_past_wrists,0,167448,"[""sleeves_past_wrists"", ""sleeves_past_wrist""]",False,True
551772,parted_bangs,0,202416,"[""parted_bangs""]",True,False
579466,looking_to_the_side,0,185325,"[""looking_to_the_side"", ""looking_aside"", ""looking_to_side""]",False,False
464572,pillow,0,147741,"[""pillow"", ""pink_pillow"", ""green_pillow"", ""white_pillow"", ""purple_pillow"", ""orange_pillow"", ""black_pillow"", ""yellow_pillow"", ""blue_pillow"", ""grey_pillow"", ""red_pillow"", ""pillows""]",False,False
412078,wrist_cuffs,0,155474,"[""wrist_cuffs"", ""detached_cuffs"", ""wristcuff"", ""wristcuffs"", ""wrist_cuff""]",False,True
89228,grey_eyes,0,188925,"[""grey_eyes"", ""silver_eyes"", ""gray_eyes""]",True,False
10923,torn_clothes,0,148067,"[""torn_clothes"", ""ripped_clothing"", ""torn_clothing"", ""ripped_clothes"", ""tornclothes""]",False,True
464535,book,0,142234,"[""book"", ""books""]",False,False
465277,plaid,0,11282,"[""plaid"", ""tartan""]",False,True
457408,black_pantyhose,0,207214,"[""black_pantyhose""]",False,True
59,maid,0,151369,"[""maid"", ""maid_dress"", ""maid_outfit"", ""maid_costume"", ""maids"", ""maid_uniform""]",False,True
537200,symbol-shaped_pupils,0,169734,"[""symbol-shaped_pupils"", ""symbol_shaped_pupils""]",True,False
481846,hands_up,0,186945,"[""hands_up"", ""hands_raised""]",False,False
379475,sash,0,144351,"[""sash""]",False,True
539584,fur_trim,0,166379,"[""fur_trim"", ""fur_lining""]",False,True
3314,kneehighs,0,130365,"[""kneehighs"", ""kneehigh_socks"", ""knee_socks"", ""kneesocks"", ""knee_highs""]",False,True
463173,maid_headdress,0,148068,"[""maid_headdress"", ""maid_cachusha"", ""maid_headband""]",True,True
7820,military,0,102352,"[""military""]",False,False
16718,black_panties,0,138106,"[""black_panties""]",False,True
358,cosplay,0,139978,"[""cosplay""]",False,True
475418,bare_arms,0,141787,"[""bare_arms""]",False,True
13132,petals,0,132549,"[""petals"", ""flower_petals"", ""petal""]",False,False
12552,pubic_hair,0,139584,"[""pubic_hair"", ""hairy_pussy"", ""pubes"", ""pubichair""]",False,False
524961,black_shirt,0,221390,"[""black_shirt"", ""black_blouse""]",False,True
2335,fox_ears,0,151967,"[""fox_ears"", ""/fox"", ""kitsunemimi""]",True,False
128,loli,0,151931,"[""loli"", ""lolicon"", ""rori""]",False,False
531371,gradient_background,0,144047,"[""gradient_background"", ""/gradientbg"", ""/gbg""]",False,False
394174,short_shorts,0,144406,"[""short_shorts"", ""minishorts"", ""booty_shorts"", ""hot_pants"", ""hotpants""]",False,True
449676,ascot,0,144497,"[""ascot"", ""jabot"", ""cravat""]",False,True
1594634,clothing_cutout,0,161900,"[""clothing_cutout""]",False,True
822149,completely_nude,0,190429,"[""completely_nude"", ""completely_naked""]",False,True
375372,dutch_angle,0,121577,"[""dutch_angle""]",False,False
416202,eyelashes,0,177539,"[""eyelashes"", ""eye_lashes""]",True,False
492223,bar_censor,0,155573,"[""bar_censor"", ""censor_bar"", ""censor_bars""]",False,False
1277433,mole_under_eye,0,163341,"[""mole_under_eye""]",True,True
1128907,pokemon_(creature),0,152194,"[""pokemon_(creature)""]",False,False
542846,no_humans,0,152333,"[""no_humans"", ""no_human""]",False,False
469714,bare_legs,0,138761,"[""bare_legs""]",False,True
2813,window,0,135636,"[""window""]",False,False
7577,open_shirt,0,119128,"[""open_shirt"", ""open_blouse"", ""/os"", ""shirt_open"", ""openshirt""]",False,True
464579,sparkle,0,154933,"[""sparkle"", ""sparkling"", ""sparkles""]",False,False
8641,dress_shirt,0,128891,"[""dress_shirt""]",False,True
10447,kneeling,0,121131,"[""kneeling"", ""on_knees""]",False,False
407186,sleeveless_shirt,0,155689,"[""sleeveless_shirt"", ""sleeveless_blouse""]",False,True
389813,single_braid,0,133322,"[""single_braid""]",True,False
2687,v,0,157059,"[""v"", ""v_sign"", ""peace_sign""]",False,False
1390441,black_headwear,0,49005,"[""black_headwear"", ""black_hat""]",True,True
382397,strapless,0,161075,"[""strapless""]",False,False
412555,4girls,0,113603,"[""4girls"", ""4girl""]",False,False
6536,bell,0,122960,"[""bell"", ""bells""]",False,False
5126,hug,0,124021,"[""hug"", ""embrace"", ""hugging""]",False,False
390035,no_bra,0,103814,"[""no_bra""]",False,True
7926,saliva,0,116565,"[""saliva"", ""spit"", ""drool""]",False,False
468554,double_bun,0,130289,"[""double_bun"", ""double_hair_bun"", ""odango"", ""twin_buns"", ""twin_bun"", ""hair_buns"", ""double_buns"", ""buns""]",True,False
474500,black_ribbon,0,137143,"[""black_ribbon""]",True,True
5032,uncensored,0,138469,"[""uncensored"", ""uncensoring"", ""descensored""]",False,False
94007,aqua_hair,0,123516,"[""aqua_hair"", ""cyan_hair"", ""teal_hair"", ""turquoise_hair""]",True,False
9344,bodysuit,0,125291,"[""bodysuit"", ""body_suit""]",False,True
